date,open,high,low,close
1639407600000,47949.41000000,48367.63000000,46290.07000000,47230.00000000
1639411200000,47045.89000000,48360.32000000,46022.41000000,47146.67000000
1639414800000,47146.67000000,48018.90000000,45909.37000000,47520.01000000
1639418400000,47514.00000000,48117.65000000,44000.00000000,47445.48000000
1639422000000,47434.41000000,48207.08000000,42127.34000000,46704.72000000
1639425600000,46727.69000000,48218.93000000,45663.43000000,46635.66000000
1639429200000,46587.85000000,47109.71000000,42127.34000000,46793.04000000
1639432800000,46790.99000000,47238.26000000,46450.87000000,46884.00000000
1639436400000,46884.44000000,47623.99000000,46573.84000000,46700.96000000
1639440000000,46702.76000000,47219.69000000,46118.83000000,47007.27000000
1639443600000,47000.00000000,47623.99000000,46584.09000000,46880.57000000
1639447200000,46868.28000000,48232.19000000,46035.77000000,47030.86000000
1639450800000,47023.07000000,47163.23000000,42127.34000000,46951.28000000
1639454400000,46948.30000000,47283.36000000,46867.21000000,46989.68000000
1639458000000,46984.72000000,47200.00000000,40442.25000000,46701.27000000
1639461600000,46694.02000000,48763.93000000,40442.25000000,46670.31000000
1639465200000,46671.76000000,47031.37000000,46545.09000000,46997.41000000
1639468800000,46998.07000000,47504.75000000,46568.13000000,47471.38000000
1639472400000,47462.01000000,47527.25000000,46134.85000000,46839.10000000
1639476000000,46819.00000000,48237.80000000,46800.01000000,47368.03000000
1639479600000,47345.51000000,48000.00000000,46158.00000000,47613.32000000
1639483200000,47618.00000000,48763.93000000,46134.85000000,47508.28000000
1639486800000,47508.31000000,47673.32000000,46134.85000000,47168.15000000
1639490400000,47155.00000000,48100.57000000,46134.85000000,47301.82000000
1639494000000,47284.68000000,47510.12000000,46134.85000000,46792.09000000
1639497600000,46836.73000000,48763.93000000,46560.70000000,46725.13000000
1639501200000,46729.93000000,47075.64000000,46469.47000000,46619.92000000
1639504800000,46619.10000000,46934.90000000,46382.06000000,46648.51000000
1639508400000,46646.68000000,47062.00000000,46633.58000000,46862.67000000
1639512000000,46857.95000000,48537.28000000,46134.85000000,47785.31000000
1639515600000,47787.70000000,48643.60000000,47748.33000000,48283.49000000
1639519200000,48283.49000000,48763.93000000,47715.33000000,48270.44000000
1639522800000,48268.01000000,48763.93000000,46535.12000000,48351.94000000
1639526400000,48347.49000000,48776.47000000,46134.85000000,48146.09000000
1639530000000,48135.98000000,48377.54000000,46134.85000000,48068.53000000
1639533600000,48073.47000000,48447.76000000,46008.43000000,47996.38000000
1639537200000,47997.58000000,48288.55000000,45668.85000000,48265.79000000
1639540800000,48262.40000000,48429.37000000,45668.85000000,48240.67000000
1639544400000,48240.67000000,48613.66000000,40442.25000000,48116.14000000
1639548000000,48118.64000000,49082.42000000,40442.25000000,48061.23000000
